,y,x
0,0.0,0.0
1,0.005590169943749474,-0.0006249999999999997
2,0.005590169943749473,0.005
3,0.005590169943749473,0.005
4,0.011180339887498947,0.004375000000000002
5,0.011180339887498947,0.01
6,0.011180339887498947,0.01
7,0.01677050983124842,0.009375000000000001
8,0.01677050983124842,0.015000000000000003
9,0.01677050983124842,0.015000000000000003
10,0.022360679774997894,0.014375000000000002
11,0.022360679774997894,0.02
12,0.022360679774997894,0.02
13,0.02795084971874737,0.019375
14,0.027950849718747367,0.025
15,0.027950849718747367,0.025
16,0.03354101966249684,0.024375000000000004
17,0.03354101966249684,0.030000000000000006
18,0.03354101966249684,0.030000000000000006
19,0.039131189606246314,0.029375000000000002
20,0.039131189606246314,0.035
21,0.039131189606246314,0.035
22,0.04472135954999579,0.034374999999999996
23,0.04472135954999579,0.04
24,0.04472135954999579,0.04
25,0.05031152949374526,0.039375
26,0.05031152949374527,0.045
27,0.05031152949374527,0.045
28,0.055901699437494734,0.044375
29,0.055901699437494734,0.05
30,0.05031152949374526,0.055
31,0.05031152949374526,0.060625000000000005
32,0.04472135954999579,0.060000000000000005
33,0.055901699437494734,0.05
34,0.055901699437494734,0.05562500000000001
35,0.05031152949374526,0.055
36,0.04472135954999579,0.060000000000000005
37,0.04472135954999579,0.065625
38,0.039131189606246314,0.065
39,0.039131189606246314,0.065
40,0.039131189606246314,0.07062500000000001
41,0.03354101966249684,0.07
42,0.03354101966249684,0.07
43,0.03354101966249684,0.07562500000000001
44,0.027950849718747367,0.07500000000000001
45,0.027950849718747367,0.07500000000000001
46,0.02795084971874737,0.08062500000000002
47,0.022360679774997894,0.08000000000000002
48,0.022360679774997894,0.08000000000000002
49,0.022360679774997894,0.085625
50,0.01677050983124842,0.085
51,0.01677050983124842,0.085
52,0.01677050983124842,0.090625
53,0.011180339887498947,0.09
54,0.011180339887498947,0.09
55,0.011180339887498947,0.095625
56,0.0055901699437494665,0.095
57,0.0055901699437494665,0.095
58,0.005590169943749474,0.100625
59,0.0,0.1
60,0.0,0.1
61,0.005590169943749473,0.099375
62,0.005590169943749473,0.10500000000000001
63,0.005590169943749473,0.10500000000000001
64,0.011180339887498947,0.104375
65,0.011180339887498947,0.11
66,0.011180339887498947,0.11
67,0.01677050983124842,0.109375
68,0.01677050983124842,0.115
69,0.01677050983124842,0.115
70,0.022360679774997894,0.11437499999999999
71,0.022360679774997894,0.12
72,0.022360679774997894,0.12
73,0.02795084971874737,0.119375
74,0.027950849718747367,0.125
75,0.027950849718747367,0.125
76,0.03354101966249684,0.124375
77,0.03354101966249684,0.13
78,0.03354101966249684,0.13
79,0.039131189606246314,0.12937500000000002
80,0.039131189606246314,0.135
81,0.039131189606246314,0.135
82,0.04472135954999579,0.13437500000000002
83,0.04472135954999579,0.14
84,0.04472135954999579,0.14
85,0.05031152949374526,0.13937500000000003
86,0.05031152949374527,0.145
87,0.05031152949374527,0.145
88,0.055901699437494734,0.144375
89,0.055901699437494734,0.15
90,0.055901699437494734,0.15
91,0.055901699437494734,0.15562499999999999
92,0.05031152949374526,0.155
93,0.05031152949374526,0.155
94,0.05031152949374526,0.160625
95,0.04472135954999579,0.16
96,0.04472135954999579,0.16
97,0.04472135954999579,0.165625
98,0.039131189606246314,0.165
99,0.039131189606246314,0.165
100,0.039131189606246314,0.170625
101,0.03354101966249684,0.17
102,0.03354101966249684,0.17
103,0.03354101966249684,0.175625
104,0.027950849718747367,0.17500000000000002
105,0.027950849718747367,0.17500000000000002
106,0.02795084971874737,0.18062499999999998
107,0.022360679774997894,0.18
108,0.022360679774997894,0.18
109,0.022360679774997894,0.18562499999999998
110,0.01677050983124842,0.185
111,0.01677050983124842,0.185
112,0.01677050983124842,0.190625
113,0.011180339887498947,0.19
114,0.011180339887498947,0.19
115,0.011180339887498947,0.195625
116,0.0055901699437494665,0.195
117,0.0055901699437494665,0.195
118,0.005590169943749474,0.200625
119,0.0,0.2
120,0.0,0.2
121,0.005590169943749473,0.19937500000000002
122,0.005590169943749473,0.20500000000000002
123,0.005590169943749473,0.20500000000000002
124,0.011180339887498947,0.20437500000000003
125,0.011180339887498947,0.21000000000000002
126,0.011180339887498947,0.21000000000000002
127,0.01677050983124842,0.20937500000000003
128,0.01677050983124842,0.215
129,0.01677050983124842,0.215
130,0.022360679774997894,0.214375
131,0.022360679774997894,0.22
132,0.022360679774997894,0.22
133,0.02795084971874737,0.21937500000000001
134,0.027950849718747367,0.225
135,0.027950849718747367,0.225
136,0.03354101966249684,0.22437500000000002
137,0.03354101966249684,0.23
138,0.03354101966249684,0.23
139,0.039131189606246314,0.22937500000000002
140,0.039131189606246314,0.235
141,0.039131189606246314,0.235
142,0.04472135954999579,0.234375
143,0.04472135954999579,0.24
144,0.04472135954999579,0.24
145,0.05031152949374526,0.239375
146,0.05031152949374527,0.245
147,0.05031152949374527,0.245
148,0.055901699437494734,0.244375
149,0.055901699437494734,0.25
150,0.055901699437494734,0.25
151,0.055901699437494734,0.255625
152,0.05031152949374526,0.255
153,0.05031152949374526,0.255
154,0.05031152949374526,0.260625
155,0.04472135954999579,0.26
156,0.04472135954999579,0.26
157,0.04472135954999579,0.265625
158,0.039131189606246314,0.265
159,0.039131189606246314,0.265
160,0.039131189606246314,0.270625
161,0.03354101966249684,0.27
162,0.03354101966249684,0.27
163,0.03354101966249684,0.275625
164,0.027950849718747367,0.275
165,0.027950849718747367,0.275
166,0.02795084971874737,0.28062499999999996
167,0.022360679774997894,0.27999999999999997
168,0.022360679774997894,0.27999999999999997
